rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:5WthbIy7Qp7HmGYGRCZ43z","Manuel","Zombi","Gold Record Music Kft.",1,1,5,"203366"
2,"spotify:track:3ANOQpQLmv4xAyxLSOk9HC","Kolg8eight","2021","6000 RECORDS",2,48,2,"152479"
3,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",2,4,62,"125195"
4,"spotify:track:1HhNoOuqm1a5MXYEgAFl8o","Imagine Dragons, JID, Arcane, League of Legends","Enemy (with JID) - from the series Arcane League of Legends","Kid Ina Korner / Interscope",1,3,19,"121009"
5,"spotify:track:0cUfErGDquYKSOJ6q15Vul","BSW","Mióta elhagytál - Nem vagyok álmos","BSW",1,2,12,"115592"
6,"spotify:track:2B4GHvToeLTOBB4QLzW3Ni","Farruko","Pepas","Sony Music Latin",6,7,30,"105756"
7,"spotify:track:0urTgP4nVlcZuiMVAUepCQ","Azahriah, DESH","Mind1","Supermanagement",1,6,41,"104792"
8,"spotify:track:3uUuGVFu1V7jTQL60S1r8z","Lost Frequencies, Calum Scott","Where Are You Now","Epic Amsterdam",7,8,31,"104634"
9,"spotify:track:18asYwWugKjjsihZ0YvRxO","Tiësto, Ava Max","The Motto","Atlantic Records",9,9,18,"101577"
10,"spotify:track:7iH7aaTtLCZ9OdFkGAv7MB","BSW","Egyedül - Megb*sztam ezt a kis gádzsit","BSW",2,5,3,"95664"
11,"spotify:track:4fouWK6XVHhzl78KzQ1UjL","GAYLE","abcdefu","Atlantic/Arthouse Records",5,11,17,"94078"
12,"spotify:track:5PjdY0CKGZdEuoNab3yDmX","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",1,14,35,"88607"
13,"spotify:track:5Z9KJZvQzH6PFmb8SNkxuk","Lil Nas X, Jack Harlow","INDUSTRY BABY (feat. Jack Harlow)","Columbia",2,15,33,"84995"
14,"spotify:track:3rmo8F54jFF8OgYsqTxm5d","Ed Sheeran","Bad Habits","Atlantic Records UK",1,17,37,"84300"
15,"spotify:track:63p0noYOc50p5KRUfJyukt","VALMAR, Manuel","Éget a nap","VLMR MUSIC",6,12,41,"82980"
16,"spotify:track:7rglLriMNBPAyuJOMGwi39","Elton John, Dua Lipa, PNAU","Cold Heart - PNAU Remix","EMI",9,18,30,"81834"
17,"spotify:track:2PHgjJwswIHOhXexoizfT0","ByeAlex és a Slepp, Hiro","Hullik","Gold Record Music Kft.",5,13,34,"81520"
18,"spotify:track:58HvfVOeJY7lUuCqF0m3ly","Elley Duhé","MIDDLE OF THE NIGHT","Not Fit For Society/RCA Records",18,20,15,"79912"
19,"spotify:track:3Xourl4xRz7cfHMznl0PlR","ByeAlex és a Slepp, Manuel","Rossz esték","Gold Record Music Kft.",1,16,16,"79151"
20,"spotify:track:0qELCtMR31qphCvyVq9Vua","T. Danny","Még Egyszer","T. Danny",1,10,7,"75766"
21,"spotify:track:5yz7GjTUzj3bCB6LtzU6dV","Carson Coma","Immunissá válunk","Gold Record Music Kft.",21,-1,1,"73178"
22,"spotify:track:20on25jryn53hWghthWWW3","ACRAZE, Cherish","Do It To It","Thrive Music, LLC",12,19,20,"71362"
23,"spotify:track:50nfwKoDiSYg8zOCREWAm5","Ed Sheeran","Shivers","Atlantic Records UK",7,23,26,"70425"
