rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:2GxrNKugF82CnoRFbQfzPf","Artemas","i like the way you kiss me","Artemas",1,1,4,"459017"
2,"spotify:track:2H5Xte3poqJ1ld8HtmC7yc","Azahriah","cipoe","Supermanagement",2,2,2,"380675"
3,"spotify:track:2zIijzos3rNY6DkvX2ZYDX","Pogány Induló","Úgy Hiszem","ASAN Budapest",1,4,10,"240706"
4,"spotify:track:0nI4wU2023g1mFho21Vddr","Manuel","Tiara","Gold Record Music Kft.",1,3,8,"235634"
5,"spotify:track:13EtEH0X61xnyEChVmeb2Q","Pogány Induló, Parno Graszt","Székelykapu","ASAN Budapest",3,5,10,"226444"
6,"spotify:track:1zWdoNRmxhBaAJiJI2SI7j","Pogány Induló","Mámor","ASAN Budapest",2,6,10,"200693"
7,"spotify:track:2EAvOY1uymm5ZAd0ZbnnPW","Azahriah","introvertált dal","Supermanagement",1,7,60,"194923"
8,"spotify:track:0AjmK0Eai4zGrLaJwPvrDp","Hozier","Too Sweet","Rubyworks / Universal-Island Records Ltd",8,28,2,"187645"
9,"spotify:track:3xkHsmpQCBMytMJNiDf3Ii","Benson Boone","Beautiful Things","Night Street Records, Inc./Warner Records Inc.",6,8,12,"159315"
10,"spotify:track:0Ro1NBqAymTPeQuHVNOekw","Beton.Hofi, ANUBII$","MEGGYFÁN","Banana Records",5,13,5,"155167"
11,"spotify:track:3rUGC1vUpkDG9CZFHMur1t","Tate McRae","greedy","RCA Records Label",4,11,30,"150494"
12,"spotify:track:1E2flGJxXQNeBLRqQXiAsK","DESH, Young Fly, Azahriah, Lord Panamo","Rampapapam","Supermanagement",1,10,38,"149358"
13,"spotify:track:2KViM7OZzQU9mLWxJxHJWG","Pogány Induló, ANUBII$","Afro Beat","ASAN Budapest",8,15,59,"143364"
14,"spotify:track:3w0w2T288dec0mgeZZqoNN","¥$, Kanye West, Ty Dolla $ign, Rich The Kid, Playboi Carti","CARNIVAL","Ye",5,9,9,"141362"
15,"spotify:track:1tCIXEBHBFHO1x3M07z3xy","DESH, Young Fly","Pakisztáni/popo","Supermanagement",1,19,38,"141226"
16,"spotify:track:7kIn3HrqM432chtEydQgMb","Tomi, VALMAR","Valencia","Szatmári Tamás",1,14,29,"137745"
17,"spotify:track:3qhlB30KknSejmIvZZLjOD","Djo","End of Beginning","Djo",11,12,8,"137582"
18,"spotify:track:4Q6pUe0KTMlqRoxJpXCytk","Pogány Induló","Gengetek ellen","ASAN Budapest",2,16,14,"130708"
19,"spotify:track:7lemjnVRAqQtqqLdSqCKqM","Azahriah, DESH","Mind1","Supermanagement",1,26,150,"122250"
20,"spotify:track:3bK1zVFBKIzYjmptmI4NsJ","Ofenbach, Norma Jean Martine","Overdrive (feat. Norma Jean Martine)","Elektra France",20,27,14,"121618"
21,"spotify:track:5ZY255MSISgMrvHmRZux1E","Azahriah","3korty","Supermanagement",1,17,50,"120747"
22,"spotify:track:7BHYrsEYySLRs6PcZvvFEm","T. Danny, Young Fly","No Woman No Cry","T. Danny",1,18,16,"120726"
23,"spotify:track:17phhZDn6oGtzMe56NuWvj","Teddy Swims","Lose Control","Warner Records",21,24,14,"118924"
24,"spotify:track:6S8A2hIs3iqFnn3ZdQGg68","Pogány Induló","Kitartást","ASAN Budapest",3,21,12,"118702"
25,"spotify:track:4iLTcaEz2yfnUDkO5XTe3B","Azahriah","mariana.árok","Supermanagement",1,20,9,"116381"
26,"spotify:track:1VPU7SKdABCb3gNCNjMFIZ","Azahriah, DESH","lost tiki","Supermanagement",5,32,34,"109787"
27,"spotify:track:3U5JVgI2x4rDyHGObzJfNf","Natasha Bedingfield","Unwritten","Sony Music CG",3,25,13,"109675"
28,"spotify:track:59NraMJsLaMCVtwXTSia8i","cassö, RAYE, D-Block Europe","Prada","Ministry of Sound Recordings",28,46,34,"109116"
29,"spotify:track:18DVypBkvcJtVFzQr5Ly7J","Beton.Hofi, Hundred Sins","BAGIRA","Universal Music Kft. Hungary",1,30,86,"106889"
30,"spotify:track:48lxT5qJF0yYyf2z4wB4xW","Jaxomy, Agatino Romero, Raffaella Carrà","Pedro","Columbia/B1 Recordings/Ultra Records",30,-1,1,"105354"
31,"spotify:track:5doAzQzWfbAWMvh2eXxvdf","KKevin","RÓLAD SZÓL","KKEVIN",2,23,7,"105300"
32,"spotify:track:156AeYPPIRgeYJWmC3JUbO","DESH","Apály","Supermanagement",19,45,18,"104817"
33,"spotify:track:4OMJGnvZfDvsePyCwRGO7X","Dua Lipa","Houdini","Warner Records",16,33,21,"104642"
34,"spotify:track:7CMqBgZAFANJNyQueevWvR","Carson Coma, Beton.Hofi","Frida Kahlo","Carson Coma",23,47,5,"104636"
35,"spotify:track:1LuXPfE3lgAzS8w5IcHAbL","Beton.Hofi, ANUBII$","SOFIA COPPOLA","Banana Records",7,36,5,"104443"
36,"spotify:track:5pYNDOTIoZZ5ab77vb8EO3","Azahriah, DESH","Rét","Supermanagement",30,31,53,"103027"
37,"spotify:track:1tAyEL10PQDcIvEL2o75wt","Azahriah","figyelj","Supermanagement",2,35,88,"101774"
38,"spotify:track:0XUClHXrjQYhATEItePqfT","Beton.Hofi, Hundred Sins, laurie., Dom Beats","HOLNAP MEGÁLLNAK AZ ÓRÁK","Banana Records",5,39,10,"99212"
39,"spotify:track:2tudvzsrR56uom6smgOcSf","Future, Metro Boomin, Kendrick Lamar","Like That","Wilburn Holding Co./Boominati/Epic/Republic",14,22,3,"98160"
40,"spotify:track:42VsgItocQwOQC3XWZ8JNA","Travis Scott, Playboi Carti","FE!N (feat. Playboi Carti)","Cactus Jack/Epic",15,34,33,"97618"
41,"spotify:track:4VXiDjCRkKHvXFhSX7OEri","Bruno X Spacc, KÚTVÖLGYI SÁRA","Loca","Bruno X Spacc",3,42,15,"97442"
42,"spotify:track:28drn6tQo95MRvO0jQEo5C","Future, Metro Boomin, Travis Scott, Playboi Carti","Type Shit","Wilburn Holding Co./Boominati/Epic/Republic",24,44,3,"97128"
43,"spotify:track:0zAA4LCkftBt802yl9syd4","Beton.Hofi, toldyuuso","TESI","Banana Records",25,50,5,"96360"
44,"spotify:track:1BXp9PwKtW5AKD0QDdaPSw","DESH","Osztriga","Supermanagement",2,29,22,"95584"
45,"spotify:track:520pvY0G0yZ9Jcwlhik7lD","Filo, Apu","seholse","On The Low",7,53,40,"95204"
46,"spotify:track:31nfdEooLEq7dn3UMcIeB5","BENNETT","Vois sur ton chemin - Techno Mix","Warner Music Central Europe",22,40,36,"95187"
47,"spotify:track:6Qb7YsAqH4wWFUMbGsCpap","Dua Lipa","Training Season","Warner Records",15,48,8,"95167"
48,"spotify:track:3bccJlU6zh1SZ79jvduQ06","Pogány Induló, ekhoe","15","ASAN Budapest",6,37,10,"90233"
49,"spotify:track:28VVWdNsM6l05eOiJfth5X","HENN","SANDELA","Bedlam Records",17,135,12,"88456"
50,"spotify:track:2IetMd5ZFurl1sjSAqhq2O","Azahriah, DESH","ceremónia","Supermanagement",2,41,34,"84294"
51,"spotify:track:51ZQ1vr10ffzbwIjDCwqm4","Ariana Grande","we can't be friends (wait for your love)","Republic Records",26,38,5,"82744"
52,"spotify:track:0JC2yPGYZsO9zR9Bss3Hi8","Morad","Les Duele","M.D.L.R",52,108,2,"82627"
53,"spotify:track:0Fyqe4e5VjCaFjNSNYWa25","GIMS, Morad, SativaMusic","SEYA","Play Two",53,56,10,"82611"
54,"spotify:track:63ZedTAVRCICh2CNLWnsPZ","Beny Jr, Morad, K y B","Sigue","K y B",54,59,7,"81053"
55,"spotify:track:5uQ7de4EWjb3rkcFxyEOpu","Mark Ambor","Belong Together","Hundred Days Records, LLC",55,83,3,"80038"
56,"spotify:track:7guuxhxRSe7SDCYIkxodUx","4s Street","Mesélek a bornak","Mistral Music",25,55,86,"79477"
57,"spotify:track:3wQlR2WBPLoKAN6uZgRx54","LMEN PRALA","MENTALITAT","LMEN PRALA",16,51,30,"75956"
58,"spotify:track:2a1o6ZejUi8U3wzzOtCOYw","Don Omar, Lucenzo","Danza Kuduro","UMLE - Machete",53,57,96,"74839"
59,"spotify:track:3lI1sZnyM1Ju3ApgNo0ITT","Morad","Soñar","M.D.L.R",59,101,2,"74373"
60,"spotify:track:1ACA277B6f46DYCgZW8di3","Artemas","if u think i'm pretty","Artemas",60,70,11,"74338"
61,"spotify:track:1o0TkBcMTkkOg1KUeB4riK","Azahriah","four moods","Supermanagement",1,64,88,"74306"
62,"spotify:track:2ZpLz23RdZWWIFqeLZI6No","Manuel","AURA","Gold Record Music Kft.",9,67,15,"74108"
63,"spotify:track:1Qzkw4QaTXbVd1TmDzSNOv","Azahriah","gát","Supermanagement",6,43,50,"72942"
64,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",3,54,85,"72663"
65,"spotify:track:52eIcoLUM25zbQupAZYoFh","21 Savage","redrum","Slaughter Gang, LLC/Epic Records",8,49,13,"72613"
66,"spotify:track:3tYdb1HYnrqcq9bdwsuxfg","VZS","Gurulgatok","VZS",25,52,29,"70889"
67,"spotify:track:2FLH8pUVYNRJIEZcwLyzYy","Follow The Flow","Szélcsend","Supermanagement",3,58,55,"70509"
68,"spotify:track:4Os68ICIOhJVOPfl53TjBP","Beton.Hofi, ajsa luna, Hundred Sins, Beatrick","TISZALÖK","Universal Music Kft. Hungary",7,88,84,"70183"
69,"spotify:track:6eaaIxWaso3ooRdPDS5PuN","DESH, Young Fly, KKevin","Rollin'","Supermanagement",1,61,40,"70132"
70,"spotify:track:1odExI7RdWc4BT515LTAwj","David Kushner","Daylight","Miserable Music Group, LLC",3,63,52,"69077"
71,"spotify:track:0nQuoTxzDIVoWzaTgF5xtW","Dzsúdló, Azahriah","Várnék","Supermanagement",1,66,88,"68117"
72,"spotify:track:6nLt2P4qTu9T787DlfbVi7","DESH","Haramia","Supermanagement",3,96,21,"67818"
73,"spotify:track:1LY3GhF0zxIVgbYEQjCbUO","Disturbed, CYRIL","The Sound of Silence - CYRIL Remix","Spinnin' Records",73,118,8,"66184"
74,"spotify:track:15EdGSZSF1egiaBuqMqTZd","Pogány Induló, VZS, Hibrid","Zárka","ASAN Budapest",9,68,10,"66018"
75,"spotify:track:3q3iSzQ1JldEND5xz5wZho","Beton.Hofi, ANUBII$","INDIÁN","Banana Records",11,82,5,"65426"
76,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",16,109,165,"65402"
77,"spotify:track:69phA1R4gmQsBFRQ3INW8C","Rich Amiri","ONE CALL","Internet Money Records / 10K Projects",50,65,12,"65005"
78,"spotify:track:2F2p7b5Xq20mRyEeWYaeUF","Purple Disco Machine, Kungs, Julian Perretta","Substitution (feat. Julian Perretta)","Columbia Local",48,87,42,"64959"
79,"spotify:track:4fzbwV7qglR3mPit64hXse","L.L. Junior, KKevin, Rytmus, Érdi Baba","Cigány-ügy","L.L. Junior",11,62,21,"64427"
80,"spotify:track:0h3Xy4V4apMraB5NuM8U7Z","CYRIL","Stumblin' In","Spinnin' Records",80,105,4,"64381"
81,"spotify:track:6xtrxNn56pSi1qvYXMUapg","Pogány Induló, Ótvar Pestis","J11","ASAN Budapest",11,69,10,"64212"
82,"spotify:track:2uqYupMHANxnwgeiXTZXzd","Dasha","Austin (Boots Stop Workin')","Warner Records",82,169,2,"64006"
83,"spotify:track:2UDcemhm2dMb3pbnza8zv3","Beton.Hofi, ANUBII$","TÜKÖRTEREM","Banana Records",4,77,21,"63991"
