url,streams
spotify:track:3NuK5xMlSlB6K2Qp16zf3h,"[38662, 38269, 38645, 36610, 34897, 32941, 31878, 31574, 31578, 31710, 30708, 28700, 29928, 29030, 28506, 28159, 25862, 22982, 22265, 22613, 22292, 22909, 23086, 22831, 24302, 24259, 23723, 23330, 22842, 23169, 21455, 22317, 21456, 21332, 20213, 23043, 22739, 20806, 20765, 20623, 20289, 21572, 20693, 20671, 17693, 18610, 18532, 18755, 18641, 23325, 21878, 20982, 20723, 20587, 18883, 18423, 18120, 18243, 17546, 16949, 16801, 16810, 15504, 14700, 16653, 16324, 16568, 15583, 17301, 17709, 17657, 17733, 16837, 16730, 16328]"
spotify:track:2dpaYNEQHiRxtZbfNsse99,"[38417, 41483, 41338, 40891, 40434, 55304, 53447, 52190, 49148, 47168, 45424, 42884, 42674, 39162, 36999, 36490, 33239, 31508, 31913, 33827, 34430, 34031, 34898, 34827, 35913, 35047, 36001, 36833, 33705, 33039, 31283, 32149, 31695, 31941, 28929, 28390, 26415, 24841, 24142, 24715, 24195, 23684, 23938, 25075, 19921, 20653, 20397, 20731, 21147, 29033, 26486, 25279, 27665, 25536, 25562, 24797, 25028, 23380, 23328, 22937, 22553, 21887, 22001, 23668, 23332, 22425, 21981, 20932, 21569, 21249, 20178, 20587, 20182, 20470, 19731, 19475, 19928, 19526, 19144, 19158, 19204, 18853, 17670, 17335, 16686, 16508]"
spotify:track:5JEx7HbmvHQQswJCsoo9rA,"[37002, 45971, 43917, 44928, 40977, 39740, 33644, 31912, 31568, 32287, 31021, 30923, 32732, 31357, 29782, 31003, 28003, 26948, 27178, 26099, 24157, 22963, 22070, 21210, 21174, 20308, 18997, 17295, 17255, 16597, 17058, 17206, 17259, 17254, 15428, 17954, 17951, 18147, 18219, 18683, 18290, 18113, 18005, 18641, 15876, 16545, 16031, 15856, 15486]"
spotify:track:2dsbdPTyFRLJzJsgv8RISq,"[36307, 41105, 41772, 39595, 37865, 38027, 33182, 31094, 29962, 30177, 30036, 27421, 28239, 26397, 25166, 24693, 23737, 22965, 21934, 22557, 23022, 23641, 22069, 26648, 24774, 23760, 24077, 23772, 24996, 25904, 24816, 25166, 24989, 27798, 29844, 28758, 27362, 26391, 25837, 24945, 24657, 25393, 24647, 26548, 23773, 25334, 25375, 25083, 24956, 27775, 27290, 22294, 21192, 21986, 24066, 23126, 22914, 23314, 23415, 23560, 24147, 24509, 23136, 21086, 19390, 20039, 20644, 18603, 19632, 19737, 18393, 19663, 20059, 20053, 19594, 20449, 20643, 20205, 19437, 19587, 22130, 22873, 22800, 22975, 22387, 22875, 23272, 22627, 22009, 21725, 21345, 20759, 22862, 22459, 22667, 19671, 18507, 18216, 17347, 22776, 22084, 20953, 20539, 21215, 20846, 20613, 21140]"
spotify:track:7tFiyTwD0nx5a1eklYtX2J,"[34872, 33147, 33759, 33296, 36333, 36458, 40566, 43556, 45878, 46025, 43480, 41286]"
spotify:track:6rp8bq0lhkIosumUPlTFfB,"[34647, 38081, 38899, 37908, 37320, 36387, 35203, 35126, 33770, 34388, 35907, 35424, 36023, 34604, 33335, 34051, 30870, 32238, 30729, 30939, 31085]"
spotify:track:5LRnTgBR4JTYvzv0oum9yB,"[33575, 28920, 25243, 22346, 18953, 19251, 17660, 16527, 14882, 13019, 12416]"
spotify:track:3KLygy1YWhmrQx0GRs7IOx,"[33018, 33080, 32984, 31355, 30580, 30332, 27303, 28696, 27705, 28386, 28265, 26679, 27131, 25425, 23914, 23503, 22617, 21730, 21610, 22329, 21227, 21358, 21469]"
spotify:track:2G4Ke0bTohNdJk0RhpPX7h,"[32069, 36965, 39537, 47620, 47857, 45480, 45254, 44449, 40836, 41484, 40478, 38489, 38452, 37803, 36134, 36123, 32410, 33995, 32094, 32431, 32149]"
spotify:track:7dt6x5M1jzdTEt8oCbisTK,"[31259, 34224, 34112, 32639, 31485, 32380, 33360, 33996, 31616, 30987, 31301, 29017, 30221, 25614, 24112, 23592, 21201, 21306, 19686, 19379, 19631, 20086, 20194, 19989, 21328, 20719, 20877, 22848, 22078, 22394, 22493, 25022, 41973, 34953, 30564, 30940, 26981, 23883, 23003, 23132, 21872, 21082, 21057, 20781, 17281, 17817, 17936, 17574, 18083, 24746, 24187, 22495, 21583, 21672, 20032, 19361, 19542, 19000, 18537, 18029, 17926, 19303, 19433, 17820, 16873, 16817, 16233, 16629, 16539, 15541, 16392, 16138, 16694, 16568, 17464, 17475, 17354, 17967, 17770, 16587, 16287, 16609, 17065, 16992, 17021, 17100, 17050]"
spotify:track:4VHWDEnJOWXHqgBhQcgcPW,"[31138, 34804, 31677, 30589, 28639, 29226, 21444, 18880, 18066, 16329, 15686, 14589, 14081, 13183, 13559, 13131, 11857, 12769]"
spotify:track:0e7ipj03S05BNilyu5bRzt,"[30658, 29744, 29399, 29281, 29655, 27828, 28718, 29983, 28090, 26400, 26208, 25136, 24334, 24047, 23823, 24325, 24008, 23102, 21941, 21792, 22019, 21600, 22627, 23077, 23628, 22779, 23095, 24087, 24175, 23947, 24861, 26912, 41775, 34804, 31795, 30259, 31456, 29967, 25940, 26378, 25470, 23899, 24418, 25222, 20770, 22100, 22217, 21862, 22854, 28357, 27663, 25798, 26869, 24994, 26126, 25039, 25641, 25764, 24746, 24681, 23777, 23922, 28017, 29053, 26696, 25147, 25479, 23757, 24055, 23770, 23343, 23341, 23469, 23499, 23220, 23824, 22464, 22583, 22943, 22933, 21334, 21805, 20517, 19438, 19932, 19298, 18295, 17745, 18440, 18378, 18017, 17004, 18501]"
spotify:track:0FZ4Dmg8jJJAPJnvBIzD9z,"[30186, 31288, 32046, 31069, 28548, 24300, 22219, 21180, 19906, 18987, 18770, 16536, 14003, 12988]"
spotify:track:2iUXsYOEPhVqEBwsqP70rE,"[29841, 33121, 34354, 32626, 29990, 32791, 32147, 32264, 31035, 31046, 30201, 29996, 30510, 29828, 29962, 27526, 26845, 26146, 27033, 27660, 26330, 29263, 28174, 27884, 29033, 29136, 27613, 27704, 26979, 27027, 24910, 25420, 24711, 24221, 22869, 25893, 27102, 25494, 25313, 25464, 24968, 24243, 25041, 25543, 21990, 23010, 22924, 24132, 25154, 31313, 28270, 23797, 24298, 26044, 26245, 24897, 24727, 24028, 25030, 24772, 24414, 23616, 23286, 24260, 23574, 23682, 24265, 22898, 24234, 24731, 23424, 27963, 26987, 27483, 25910, 27017, 25725, 24888, 25147, 24251, 24387, 24807, 24052, 23765, 23396, 22498, 23106, 23068, 22983, 23268, 22570, 22599, 22272, 21990, 22159, 20953, 20696, 20106, 20263, 19697, 20917, 21575, 18661, 20119, 21979, 21180, 21053, 21115, 20001, 20244, 20534, 20978, 20558, 20613, 21196, 21849, 20070, 23152, 24342, 23631, 22085, 21402, 20478, 19898, 20016, 20359, 19587, 24583, 30817, 23891]"
spotify:track:2FY7b99s15jUprqC0M5NCT,"[29686, 32381, 34078, 32450, 32289, 31538, 28820, 30534, 28989, 28761, 28666, 28619, 28966, 26189, 23961, 24364, 21877, 21267, 21007, 21389, 21416, 21740, 23167, 22428, 21675, 20625, 20574, 19566, 19036, 18853, 18573, 19145, 18805, 17894, 17991, 17658, 17962, 18470, 18709, 19436, 18601, 18944, 19374, 19729, 17042, 18320, 17968, 17743, 17619, 20493, 19195, 16115, 16816, 18142, 17676, 17985, 18316, 18354, 17836, 17603, 17437, 17159, 16845, 16166, 14911, 15463, 15560, 15043, 15840, 16176, 16405, 16184, 16540, 16698, 16571, 16434, 16053, 16145, 36211]"
