artist_names,track_name,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature,popularity_score1,popularity_score2
"Manuel, Azahriah",Toxic,spotify:track:1WMymP7Mj6GrI2VReJFSJD,0.649,0.895,5,-5.486,1,0.0623,0.197,1.96e-06,0.339,0.838,165.918,audio_features,1WMymP7Mj6GrI2VReJFSJD,https://api.spotify.com/v1/tracks/1WMymP7Mj6GrI2VReJFSJD,https://api.spotify.com/v1/audio-analysis/1WMymP7Mj6GrI2VReJFSJD,191205,4,0.0276353881563558,0.0491399000050614
Manuel,100 Hiba,spotify:track:2OcJ6IFLooNGjyiL9HaDab,0.669,0.718,10,-5.637,1,0.0324,0.108,0.0,0.106,0.255,110.094,audio_features,2OcJ6IFLooNGjyiL9HaDab,https://api.spotify.com/v1/tracks/2OcJ6IFLooNGjyiL9HaDab,https://api.spotify.com/v1/audio-analysis/2OcJ6IFLooNGjyiL9HaDab,173455,4,0.0228392414173159,0.0406116256840142
Horváth Tamás,Meggyfa,spotify:track:7knuVKl5CtGWnSAAWWWUL6,0.86,0.419,3,-7.114,0,0.0506,0.754,0.0,0.21,0.883,104.969,audio_features,7knuVKl5CtGWnSAAWWWUL6,https://api.spotify.com/v1/tracks/7knuVKl5CtGWnSAAWWWUL6,https://api.spotify.com/v1/audio-analysis/7knuVKl5CtGWnSAAWWWUL6,179043,4,0.0106842589700008,0.0189982284469297
"Manuel, VALMAR",Palvin,spotify:track:5hAuDDOTUaspvHJSm2AltF,0.696,0.813,5,-6.701,0,0.0422,0.141,0.0,0.114,0.913,99.03,audio_features,5hAuDDOTUaspvHJSm2AltF,https://api.spotify.com/v1/tracks/5hAuDDOTUaspvHJSm2AltF,https://api.spotify.com/v1/audio-analysis/5hAuDDOTUaspvHJSm2AltF,188485,4,0.026516321044862,0.0469564804636428
grandson,Blood // Water,spotify:track:0AUyNF6iFxMNQsNx2nhtrw,0.51,0.882,8,-5.659,0,0.159,0.00158,0.00206,0.0764,0.653,154.029,audio_features,0AUyNF6iFxMNQsNx2nhtrw,https://api.spotify.com/v1/tracks/0AUyNF6iFxMNQsNx2nhtrw,https://api.spotify.com/v1/audio-analysis/0AUyNF6iFxMNQsNx2nhtrw,216721,4,0.0115208502986636,0.0204017209272164
"benny blanco, Halsey, Khalid",Eastside (with Halsey & Khalid),spotify:track:7FGq80cy8juXBCD2nrqdWU,0.632,0.686,6,-7.665,0,0.243,0.549,0.0,0.2,0.329,89.949,audio_features,7FGq80cy8juXBCD2nrqdWU,https://api.spotify.com/v1/tracks/7FGq80cy8juXBCD2nrqdWU,https://api.spotify.com/v1/audio-analysis/7FGq80cy8juXBCD2nrqdWU,170770,4,0.0143381369929187,0.0253907187371108
"Joel Corry, RAYE, David Guetta",BED,spotify:track:0siYMEsGrzzzlWLXK5zJfS,0.671,0.782,6,-4.593,1,0.0341,0.0142,0.00221,0.333,0.618,123.989,audio_features,0siYMEsGrzzzlWLXK5zJfS,https://api.spotify.com/v1/tracks/0siYMEsGrzzzlWLXK5zJfS,https://api.spotify.com/v1/audio-analysis/0siYMEsGrzzzlWLXK5zJfS,178088,4,0.0196687919872427,0.0348305198571797
Pogány Induló,Pogi Hip-Hop,spotify:track:3587lsrur0nDemFY0xbpN9,0.601,0.738,1,-6.384,1,0.781,0.255,0.0,0.367,0.461,89.14,audio_features,3587lsrur0nDemFY0xbpN9,https://api.spotify.com/v1/tracks/3587lsrur0nDemFY0xbpN9,https://api.spotify.com/v1/audio-analysis/3587lsrur0nDemFY0xbpN9,117333,4,0.020445415939324,0.0360540188074418
"JACKBOYS, Travis Scott, Young Thug",OUT WEST (feat. Young Thug),spotify:track:6gi6y1xwmVszDWkUqab1qw,0.802,0.591,8,-4.895,1,0.225,0.0104,0.0,0.196,0.309,139.864,audio_features,6gi6y1xwmVszDWkUqab1qw,https://api.spotify.com/v1/tracks/6gi6y1xwmVszDWkUqab1qw,https://api.spotify.com/v1/audio-analysis/6gi6y1xwmVszDWkUqab1qw,157712,4,0.0114374201929602,0.020169066942408
Billie Eilish,everything i wanted,spotify:track:3ZCTVFBt2Brf31RLEnCkWJ,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,audio_features,3ZCTVFBt2Brf31RLEnCkWJ,https://api.spotify.com/v1/tracks/3ZCTVFBt2Brf31RLEnCkWJ,https://api.spotify.com/v1/audio-analysis/3ZCTVFBt2Brf31RLEnCkWJ,245426,4,0.0246505022405625,0.0434693857063938
