music,streams
High Hopes,"[38772, 58186, 64951, 64139, 60900, 60643, 57258, 60115, 57493, 56355, 54691, 53496, 56373, 58440, 58462, 58335, 57609, 57664, 54690, 53769, 51791, 50746, 49070, 49386, 48431, 48414, 46019, 43791, 42713, 43108, 40062, 40820, 39857, 39370, 36490, 38067, 39083, 39604, 36692, 35413, 33016, 33869, 33642, 32642, 31977, 33072, 29771, 31050, 30740, 45247, 38089, 32216, 34957, 34059, 32565, 29995, 29121, 28342, 28024, 28801, 27562, 26747, 26332, 24453, 24072, 23104, 24607, 24796, 25155, 25037, 24227, 25655, 25220, 25929, 24634, 25336, 25048, 25899, 26158, 25558, 25089, 24892, 24414, 23310, 23548, 22681, 22073, 21718, 22081, 21884, 20941, 20918, 21077, 21009, 21402, 21830, 19942, 20127, 19367, 19178, 19822, 20811, 19857, 18905, 20169, 19877, 20004, 20934, 19903, 19593, 19592, 19694, 19230, 19309, 19300]"
Solo (feat. Demi Lovato),"[38662, 38269, 38645, 36610, 34897, 32941, 31878, 31574, 31578, 31710, 30708, 28700, 29928, 29030, 28506, 28159, 25862, 22982, 22265, 22613, 22292, 22909, 23086, 22831, 24302, 24259, 23723, 23330, 22842, 23169, 21455, 22317, 21456, 21332, 20213, 23043, 22739, 20806, 20765, 20623, 20289, 21572, 20693, 20671, 17693, 18610, 18532, 18755, 18641, 23325, 21878, 20982, 20723, 20587, 18883, 18423, 18120, 18243, 17546, 16949, 16801, 16810, 15504, 14700, 16653, 16324, 16568, 15583, 17301, 17709, 17657, 17733, 16837, 16730, 16328]"
Happier,"[38417, 41483, 41338, 40891, 40434, 55304, 53447, 52190, 49148, 47168, 45424, 42884, 42674, 39162, 36999, 36490, 33239, 31508, 31913, 33827, 34430, 34031, 34898, 34827, 35913, 35047, 36001, 36833, 33705, 33039, 31283, 32149, 31695, 31941, 28929, 28390, 26415, 24841, 24142, 24715, 24195, 23684, 23938, 25075, 19921, 20653, 20397, 20731, 21147, 29033, 26486, 25279, 27665, 25536, 25562, 24797, 25028, 23380, 23328, 22937, 22553, 21887, 22001, 23668, 23332, 22425, 21981, 20932, 21569, 21249, 20178, 20587, 20182, 20470, 19731, 19475, 19928, 19526, 19144, 19158, 19204, 18853, 17670, 17335, 16686, 16508]"
Close To Me (with Diplo) (feat. Swae Lee),"[37002, 45971, 43917, 44928, 40977, 39740, 33644, 31912, 31568, 32287, 31021, 30923, 32732, 31357, 29782, 31003, 28003, 26948, 27178, 26099, 24157, 22963, 22070, 21210, 21174, 20308, 18997, 17295, 17255, 16597, 17058, 17206, 17259, 17254, 15428, 17954, 17951, 18147, 18219, 18683, 18290, 18113, 18005, 18641, 15876, 16545, 16031, 15856, 15486]"
Meztelen,"[36307, 41105, 41772, 39595, 37865, 38027, 33182, 31094, 29962, 30177, 30036, 27421, 28239, 26397, 25166, 24693, 23737, 22965, 21934, 22557, 23022, 23641, 22069, 26648, 24774, 23760, 24077, 23772, 24996, 25904, 24816, 25166, 24989, 27798, 29844, 28758, 27362, 26391, 25837, 24945, 24657, 25393, 24647, 26548, 23773, 25334, 25375, 25083, 24956, 27775, 27290, 22294, 21192, 21986, 24066, 23126, 22914, 23314, 23415, 23560, 24147, 24509, 23136, 21086, 19390, 20039, 20644, 18603, 19632, 19737, 18393, 19663, 20059, 20053, 19594, 20449, 20643, 20205, 19437, 19587, 22130, 22873, 22800, 22975, 22387, 22875, 23272, 22627, 22009, 21725, 21345, 20759, 22862, 22459, 22667, 19671, 18507, 18216, 17347, 22776, 22084, 20953, 20539, 21215, 20846, 20613, 21140, 38669]"
Bohemian Rhapsody - Remastered 2011,"[34872, 33147, 33759, 33296, 36333, 36458, 40566, 43556, 45878, 46025, 43480, 41286, 39549, 36095, 32538, 32684, 30537, 27056, 27413, 25204, 23972, 23712, 23154, 27789, 30513, 27730, 26664, 26038, 25767, 24656, 23677, 22919, 22569, 23164, 21937, 20524, 21062, 21386, 21123, 20920, 20043, 19930, 21042, 22300, 19856, 20960, 20388, 20455, 20467, 23844, 22940, 21820, 19080, 19929, 19405, 18859, 18455, 18511, 19353, 19446, 18891, 18664, 17262, 16316, 15243, 15344, 15165, 15617, 15842, 15810, 15717, 15740, 15384, 15584, 16681]"
Maradok Távol,"[34647, 38081, 38899, 37908, 37320, 36387, 35203, 35126, 33770, 34388, 35907, 35424, 36023, 34604, 33335, 34051, 30870, 32238, 30729, 30939, 31085]"
Rise,"[33018, 33080, 32984, 31355, 30580, 30332, 27303, 28696, 27705, 28386, 28265, 26679, 27131, 25425, 23914, 23503, 22617, 21730, 21610, 22329, 21227, 21358, 21469, 21599, 21710, 21131, 21091, 20119, 19686, 20449, 19059, 19599, 19344, 19758, 16762, 18279, 16795, 16302, 16100, 16751, 16404, 16178, 16140, 16314, 13727, 14269, 15945, 22198, 23949, 23779, 22345, 21393, 21951, 21629, 20839]"
Anyám Mondta,"[32069, 36965, 39537, 47620, 47857, 45480, 45254, 44449, 40836, 41484, 40478, 38489, 38452, 37803, 36134, 36123, 32410, 33995, 32094, 32431, 32149]"
Better Now,"[31259, 34224, 34112, 32639, 31485, 32380, 33360, 33996, 31616, 30987, 31301, 29017, 30221, 25614, 24112, 23592, 21201, 21306, 19686, 19379, 19631, 20086, 20194, 19989, 21328, 20719, 20877, 22848, 22078, 22394, 22493, 25022, 41973, 34953, 30564, 30940, 26981, 23883, 23003, 23132, 21872, 21082, 21057, 20781, 17281, 17817, 17936, 17574, 18083, 24746, 24187, 22495, 21583, 21672, 20032, 19361, 19542, 19000, 18537, 18029, 17926, 19303, 19433, 17820, 16873, 16817, 16233, 16629, 16539, 15541, 16392, 16138, 16694, 16568, 17464, 17475, 17354, 17967, 17770, 16587, 16287, 16609, 17065, 16992, 17021, 17100, 17050]"
