music,streams
One Kiss (with Dua Lipa),"[28846, 23881, 21597, 21076, 21224, 20281, 19910, 20484, 20144, 19774, 18752, 17856, 18636, 18416, 18111, 17926, 16070, 15425, 14207, 14987, 15047, 15435, 15653, 16097, 16243, 16234, 16489, 16083, 15753, 16317, 14597, 14510, 14350, 13953, 13897, 13526, 18856, 15322, 15745, 16479, 16353, 38236, 51700, 56321, 53690, 50035, 46423, 44938, 44474, 42575, 41043, 53604, 58647, 43030, 39056, 33229, 32152, 30605, 29574, 28091, 34032]"
SICKO MODE,"[28641, 29550, 29462, 29090, 27948, 28945, 25885, 23374, 21758, 20603, 19704, 18680, 18293, 16042, 15102, 14882, 14128, 14533, 14212, 13922, 14524, 14493, 15124, 14462, 14270, 13271, 13469, 16654, 15818, 15537, 15441, 15453, 18105, 18568, 17752, 18280, 15375, 16667, 17025, 16633, 17508, 21805, 20546, 20511, 19617, 20171, 18926, 19157, 19114, 19295, 18317, 18811, 18727, 19016, 24801, 19692, 18716, 17932, 17262, 23804, 76148, 59771, 51959, 48473, 48174, 44167, 43771, 41265, 37909, 33754, 31971, 30481, 29453, 29385, 28605, 28007, 28179, 26893, 25648, 25977, 27538, 27368, 26131, 25375, 23789, 24863, 26450, 22418, 22847, 22550, 22726, 23746, 25448, 24608, 22491, 20078, 22551, 22396, 22985, 22997, 21617, 21888, 22126, 21909, 21940, 20823, 20843, 21225, 19830, 19992, 19350, 19797, 20053]"
when the party's over,"[28216, 32933, 38801, 37657, 36492, 43746, 35888, 27450, 22804, 22887, 23187, 20917, 20649, 51289, 47201, 41254, 36859, 36099, 35029, 34561, 32986, 30930, 28716, 26367, 26059, 24009, 23212, 24337, 25179, 23618, 22039, 20435, 18950, 19078, 20526, 21632, 22747, 21562, 21586, 22862, 24354, 23151, 23571, 23839, 35284, 34592, 35312, 31015, 31454, 36884, 32887, 32685, 31169, 32681, 31241, 28889, 38045, 40557, 34673, 38309, 34829, 29855, 27806, 26197, 25090, 24037, 22623, 21050, 21089, 21005, 19750, 19421, 18638, 19158, 18658, 18032, 17071, 16362, 16365, 15998]"
I Like It,"[26182, 22854, 20351, 18347, 17951, 17309, 18156, 18768, 17888, 17440, 16736, 15513, 16489, 15793, 15038, 15269, 14334, 14196, 14017, 14610, 14851, 15184, 15938, 16257, 16218, 17293, 17277, 17257, 16690, 16952, 15898, 15602, 15421, 15236, 15151, 15139, 14320, 13833, 16211]"
FRIENDS,"[26115, 25719, 22658, 20627, 20927, 24696, 22204, 22932, 21086, 19865, 19747, 18879, 18551, 18067, 17747, 18176, 17057, 16383, 16247, 16282, 16430, 16535, 16700, 16692, 16768, 17713, 17543, 17668, 17075, 16618, 15542, 16117, 16917, 17492, 18263, 17056, 16942, 16066, 16651, 16900, 16512, 16196, 15761, 16942, 13758, 14650, 14460, 14925, 18604, 17342, 16893, 16832, 15558]"
Blah Blah Blah,"[26096, 21428, 22329, 22631, 22688, 22219, 23142, 23656, 22995, 22880, 23143, 20750, 22089, 22159, 21530, 22341, 18974, 18657, 18815, 19198, 19038, 18607, 19186, 19997, 21314, 20418, 21595, 24173, 22624, 22306, 21353, 20922, 19725, 19383, 18287, 17596, 16927, 16148, 15995, 16198, 16037, 15968, 15807, 16354, 21689, 15711, 18951, 18820, 18635, 18179, 18182, 18706, 17284, 15219, 16614, 18004, 17989, 19119, 18613, 18047, 17947, 18571, 18401, 18887, 18339, 16538]"
Another One Bites The Dust - Remastered 2011,"[25757, 24248, 25455, 23953, 26632, 28954, 31897, 33521, 34548, 34676, 32974, 31092, 31031, 27872, 25170, 25250, 24199, 21297, 20446, 20023, 20134, 19592, 19992, 22505, 24647, 22658, 23359, 22657, 22839, 22321, 21431, 20806, 20585, 20812, 18991, 18549, 19002, 18792, 18788, 18194, 18471, 17832, 18407, 19815, 17308, 17759, 17439, 17282, 17676, 19686, 18798, 18196, 16376, 17717, 17306, 17113, 16643, 17326, 17529, 16974, 16361, 14478, 15557, 15400, 15378, 16722]"
Happy Now,"[25226, 13085, 28370, 14387, 23728, 15633, 22192, 15764, 21941, 15381, 23044, 15189, 23177, 14816, 23718, 15323, 23267, 15419, 23770, 16272, 22931, 13189, 21389, 12590, 22895, 12800, 23009, 13388, 22642, 12892, 21908, 20367, 12113, 20791, 20398, 19806, 19029, 19534, 19286, 19902, 20398, 20141, 20432, 17974, 17398, 16449, 17465, 17304, 17918, 17539, 14783, 17760, 18072, 18525, 18482, 18898, 19668, 19401, 19695, 19680, 18091, 19526, 18851, 18369, 18174, 18842, 16725, 18533, 19855, 21191, 21334, 21105, 20890, 21071, 21472, 20755, 20755, 19899, 19341, 19010, 19721, 18327, 18123, 17522, 16494, 18095, 15822, 15634]"
Believer,"[24837, 25943, 26684, 26176, 23858, 24113, 23801, 23449, 23448, 23043, 22953, 22040, 22871, 22383, 22456, 23266, 22117, 21024, 21150, 21722, 22889, 23150, 26383, 27056, 26721, 24833, 24847, 24183, 24349, 24227, 24393, 23989, 24511, 23957, 23939, 22286, 22835, 23505, 23755, 23504, 23677, 23804, 24651, 26714, 22206, 23266, 23355, 23431, 23222, 27739, 26384, 23910, 24343, 23744, 25868, 25198, 25373, 25265, 25589, 25596, 25615, 25200, 25036, 25487, 25006, 24242, 24535, 23467, 24035, 24053, 24007, 24761, 23879, 24630, 24432, 24923, 24368, 24729, 24655, 24811, 24534, 24765, 23707, 22989, 23112, 23320, 22960, 22184, 21700, 21965, 21670, 21511, 22315, 22624, 21905, 23377, 21075, 21787, 21816, 21811, 21985, 23420, 23111, 22523, 20636, 22912, 22421, 23241, 23312, 23234, 22812, 23332, 23300, 23719, 23203, 23447, 23551, 21942, 23309, 22921, 22126, 22105, 21346, 21355, 21027, 21876, 23372, 23313, 22095, 21670, 22479, 22242, 22565, 22150, 22051, 21988, 24881, 24727, 23932, 23039, 22967, 23310, 22547, 21843, 21527, 21513, 22899, 22063, 23024, 24860, 26566, 26482, 27361, 28758, 30529, 26799, 27397, 27619, 28557, 27880, 26927, 26990, 27085, 26393, 26314, 25788, 26700, 25998, 25584, 25411, 27508, 26099, 26388, 27088, 26569, 27153, 26261, 26053, 27504, 28472, 27070, 28496, 26160, 26515, 25610, 25523, 26101, 28055, 28324, 30549, 29724, 31832, 30097, 30861, 30631, 31046, 34871, 33627, 33838, 32773, 35909, 35505, 37801, 36488, 34707, 36689, 34619, 34294, 35540, 35876, 37026, 33359, 34246, 36943, 44206, 62707, 43433, 40159, 36523]"
Bad Liar,"[24550, 29927, 27133, 25888, 24869, 23351, 16989, 16417, 16047, 16080, 15584, 15550, 16837, 16618, 16640, 16366, 15585, 15658, 15220, 14988, 15027, 15435, 17361, 16582, 16506, 15556, 14410, 13927, 13901, 13607, 13176, 13774, 13273, 14068, 13830, 14348, 14376, 14537, 14508, 14668, 15269, 14029, 14368, 14524, 14405]"
Let You Love Me,"[24544, 28902, 29091, 29924, 28799, 29403, 27672, 26662, 24598, 24496, 23280, 19563, 20032, 19969, 17666, 17271, 14684, 15100, 14126, 13853, 13403, 13115, 13340, 13280, 14671, 13307]"
Lucid Dreams,"[24487, 23938, 22074, 21968, 21621, 21122, 19415, 18745, 21237, 20846, 18915, 17080, 17172, 16383, 15530, 15674, 14604, 14503, 14783, 14479, 15201, 15634, 15205, 15243, 15574, 14919, 14466, 13996, 13762, 13434, 13972, 13772, 13738, 13479, 14000, 14652, 14100, 14266, 14316, 14906, 15478, 18250, 21042, 17766, 18623, 17544, 17196, 17875, 84878, 73667, 51347, 46977, 46326, 47694, 44098, 44647, 43661, 41584, 40370, 39336, 38114, 36805, 40484, 38167, 36647, 36407, 33996, 33735, 34997, 33673, 34555, 32603, 32084, 32483, 32601, 30925, 30397, 29684, 30828, 32561, 32169, 29600, 28919, 29523, 29772, 29073, 29031, 29320, 30188, 30521, 30079, 29437, 29278, 29979, 31914, 28402, 30501, 30030, 30308, 33107, 36311, 33970, 33553, 31384, 28720, 31936, 32692, 32493, 32414, 31329, 30885, 30462, 29083, 29937, 28231, 27670, 26403, 25043, 25273, 24763, 25009, 24485, 22124, 23008, 22905, 23072, 21625, 22378, 20436, 20588, 20189, 20069, 20610]"
