rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:5PjdY0CKGZdEuoNab3yDmX","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",1,1,8,"193063"
2,"spotify:track:6PQ88X9TkUIAUIZJHW2upE","Ed Sheeran","Bad Habits","Atlantic Records UK",1,2,10,"187285"
3,"spotify:track:0urTgP4nVlcZuiMVAUepCQ","Azahriah, DESH","Mind1","Supermanagement",1,3,14,"178974"
4,"spotify:track:27NovPIUIRrOZoCHxABJwK","Lil Nas X, Jack Harlow","INDUSTRY BABY (feat. Jack Harlow)","Columbia",4,4,6,"156744"
5,"spotify:track:2PHgjJwswIHOhXexoizfT0","ByeAlex és a Slepp, Hiro","Hullik","Gold Record Music Kft.",5,5,7,"133373"
6,"spotify:track:3Wrjm47oTz2sjIgck11l5e","Måneskin","Beggin'","RCA Records Label",3,6,14,"124872"
7,"spotify:track:4ZtFanR9U6ndgddUvNcjcG","Olivia Rodrigo","good 4 u","Olivia Rodrigo PS",1,7,16,"115351"
8,"spotify:track:4cG7HUWYHBV6R6tHn1gxrl","Riton, Nightcrawlers, Mufasa & Hypeman, Mufasa, Dopamine","Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit","Ministry of Sound Recordings",2,8,29,"106300"
9,"spotify:track:4pt5fDVTg5GhEvEtlz9dKk","Måneskin","I WANNA BE YOUR SLAVE","RCA Records Label",2,9,15,"101531"
10,"spotify:track:67BtfxlNbhBmCDR2L2l8qd","Lil Nas X","MONTERO (Call Me By Your Name)","Columbia",1,10,23,"100934"
11,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",11,36,35,"94336"
12,"spotify:track:7EQq2RCCbFOR7XnN5J1vTv","Azahriah, DESH","RÉT","Gemini",7,14,43,"94288"
13,"spotify:track:5HiMjc8jz0OeTnUQgp15FP","Azahriah, DESH","El Barto","Supermanagement",6,13,8,"92533"
14,"spotify:track:4RVwu0g32PAqgUiJoXsdF8","Billie Eilish","Happier Than Ever","Darkroom/Interscope Records",10,12,5,"90010"
15,"spotify:track:63p0noYOc50p5KRUfJyukt","VALMAR, Manuel","Éget a nap","VLMR MUSIC",6,11,14,"89773"
16,"spotify:track:2RvZC77XsiE9x434T6o1S2","Tóth Andi","Néztek","TóthAndi Music",15,15,6,"84839"
17,"spotify:track:6Uj1ctrBOjOas8xZXGqKk4","Doja Cat","Woman","Kemosabe Records/RCA Records",17,18,5,"82820"
18,"spotify:track:3sUOONjFxjepoSXvKYrz5E","Dzsúdló, Lil Frakk","Lej","Supermanagement",10,20,90,"77641"
19,"spotify:track:5YaskwnGDZFDRipaqzbwQx","ATB, Topic, A7S","Your Love (9PM)","Virgin",8,17,33,"75963"
20,"spotify:track:3Vi5XqYrmQgOYBajMWSvCi","Doja Cat","Need to Know","Kemosabe Records/RCA Records",16,16,12,"73757"
21,"spotify:track:6f3Slt0GbA2bPZlz0aIFXN","Tiësto","The Business","Atlantic Records",1,19,49,"70133"
22,"spotify:track:5nujrmhLynf4yMoMtj8AQF","Dua Lipa, DaBaby","Levitating (feat. DaBaby)","Warner Records",4,21,48,"69677"
23,"spotify:track:6OufwUcCqo81guU2jAlDVP","Shouse","Love Tonight (Edit)","Hell Beach",22,22,15,"67299"
24,"spotify:track:6M3PsepEj5gyJoIi7Xvr7u","The Weeknd","Take My Breath - Single Version","XO / Republic Records",19,23,4,"63560"
25,"spotify:track:2pPO9YecZimmuVQfIzfV6U","Ofenbach, Lagique","Wasted Love (feat. Lagique)","Elektra France",14,24,27,"62148"
26,"spotify:track:0GsltzHgCGCiQvskZggDDj","Bagossy Brothers Company","Olyan Ő","Prime Events Management",3,26,137,"59569"
27,"spotify:track:0RbW8kWozrVSIGb4V13o0o","Kanye West","Hurricane","Rock The World/IDJ/Kanye LP7",27,-1,1,"59496"
28,"spotify:track:3DarAbFujv6eYNliUTyqtz","Doja Cat, SZA","Kiss Me More (feat. SZA)","Kemosabe Records/RCA Records",10,25,21,"59366"
29,"spotify:track:6KL88T4Ma4ABXqzgUoEwkd","OneRepublic","Run","Mosley Music/Interscope Records",29,30,17,"57875"
30,"spotify:track:6cx06DFPPHchuUAcTxznu9","Joel Corry, MNEK","Head & Heart (feat. MNEK)","Atlantic Records UK",2,28,59,"56769"
31,"spotify:track:37kI8bPlN5iN37kSFTyKCY","Azahriah","aight","Supermanagement",15,34,20,"56759"
32,"spotify:track:1esZgaqm0YKN87CIP3orJ3","Minelli","Rampampam","WM Poland/WMI",32,55,5,"56654"
33,"spotify:track:0siYMEsGrzzzlWLXK5zJfS","Joel Corry, RAYE, David Guetta","BED","Perfect Havoc / Asylum Records",18,27,24,"55773"
34,"spotify:track:3iw6V4LH7yPj1ESORX9RIN","Nathan Evans, 220 KID","Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Polydor Records",16,29,29,"54316"
35,"spotify:track:7LcRPdAyuhZRGudo4MKCSd","ByeAlex és a Slepp","Emlékszem (Vagy...)","Gold Record Music Kft.",9,32,57,"54205"
36,"spotify:track:2gbMPBrBVj3CuNTLp2dHYs","Kanye West","Off The Grid","Rock The World/IDJ/Kanye LP7",36,-1,1,"53900"
37,"spotify:track:4vtPjmwiNXDg7DOfB3gLet","T. Danny","Megmondtam","Heartless Records",14,38,86,"52126"
38,"spotify:track:2WDRZdUzRYiv3JkdaMXU9p","LMEN PRALA","Polizei","LMEN PRALA",5,37,20,"51850"
39,"spotify:track:4iJyoBOLtHqaGxP12qzhQI","Justin Bieber, Daniel Caesar, Giveon","Peaches (feat. Daniel Caesar & Giveon)","RBMG/Def Jam",4,33,24,"51470"
40,"spotify:track:3qfYWoDFsgihDzoJLASMX5","Dzsúdló","Miért ne","Supermanagement",18,43,7,"50553"
41,"spotify:track:7J4zszAZxAyowZp7gNUIUI","Goodboys","Bongo Cha Cha Cha","Atlantic Records UK",33,35,11,"50190"
42,"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","The Weeknd","Blinding Lights","Republic Records",1,41,92,"49867"
43,"spotify:track:1QDy12gTK9FOicLhQYqxHB","LMEN PRALA, Curtis","FANTASTIC","LMEN PRALA",38,51,4,"49577"
44,"spotify:track:6ft4hAq6yde8jPZY2i5zLr","MEDUZA, Dermot Kennedy","Paradise (feat. Dermot Kennedy)","Universal-Island Records Ltd.",3,39,44,"49039"
45,"spotify:track:70tnUXPayf0nDQFAObwsVi","KKevin, T. Danny","Kellett A Pénz","Kevin",45,46,5,"48987"
46,"spotify:track:0BGwAKW4u8kWOhWFflZxfl","Masked Wolf","Astronaut In The Ocean","Elektra (NEK)",1,31,36,"48780"
47,"spotify:track:6i7zAdNhzUN2k1HcrBxPHG","Ofenbach, Quarterhead, Norma Jean Martine","Head Shoulders Knees & Toes (feat. Norma Jean Martine)","Elektra France",3,40,51,"48174"
48,"spotify:track:5OdoKFV4DqciztFZG8WEcm","Carson Coma","Kék Hullám Kemping","Gold Record Music Kft.",39,45,7,"47453"
49,"spotify:track:0VcZUeaVzBil5tN3LCzkFm","BSW, LMEN PRALA, T. Danny","Mokambo Gang","BSW",2,44,19,"47449"
50,"spotify:track:5PHgY9VKDWLk5YNA1bKw9f","Follow The Flow","Tavasz","Supermanagement",11,49,68,"46418"
51,"spotify:track:4rPkN1FMzQyFNP9cLUGIIB","Dua Lipa","Love Again","Warner Records",50,50,14,"46394"
52,"spotify:track:2prnn41CblB8B4yWACDljP","Shouse, David Guetta","Love Tonight (David Guetta Remix Edit)","Hell Beach",42,42,7,"45984"
53,"spotify:track:42ZrMq4BKsWDrrbMnMRYaK","Kanye West","Jail","Rock The World/IDJ/Kanye LP7",53,-1,1,"45445"
54,"spotify:track:5pZDYdwuEWlCT2Rs7mNyvW","Halott Pénz","Amikor Feladnád","Halott Pénz",6,48,126,"44832"
55,"spotify:track:5K6Ssv4Z3zRvxt0P6EKUAP","Galantis, David Guetta, Little Mix","Heartbreak Anthem (with David Guetta & Little Mix)","Big Beat Records",40,47,15,"43851"
56,"spotify:track:0mJBiaODgK0XjOLCN5fItq","Sam Smith","Like I Can","Capitol",56,59,2,"42428"
57,"spotify:track:0Zm7NKJgoKY6ZWwtoEUILK","Kanye West","Praise God","Rock The World/IDJ/Kanye LP7",57,-1,1,"40637"
58,"spotify:track:4jPy3l0RUwlUI9T5XHBW2m","24kGoldn, iann dior","Mood (feat. iann dior)","Records/Columbia",1,52,55,"40384"
59,"spotify:track:5uWUKvPNekWal505BdKgfD","Manuel, T. Danny","Talán","Gold Record Music Kft.",1,58,43,"39920"
60,"spotify:track:0xfMlIW8lS40qvpsUw1l0X","Kungs","Never Going Home","Universal Music Division Island Def Jam",60,94,3,"39863"
61,"spotify:track:1058fW9H3fZA6QjYCdOBad","Camila Cabello","Don't Go Yet","Epic",43,53,6,"39816"
62,"spotify:track:1YO5hgAhxTRErZKKWyrMnu","Follow The Flow","Nem tudja senki","Supermanagement",6,61,176,"38980"
63,"spotify:track:15Zz41Ec3C6Rh6nDZa8331","Punnany Massif","Élvezd","AM:PM Music",53,60,240,"38748"
64,"spotify:track:0853L9QuAoYUkHIA4d8aDO","T. Danny, Curtis","Faszagyerek","T. Danny",12,56,23,"38570"
