rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:18DVypBkvcJtVFzQr5Ly7J","Beton.Hofi, Hundred Sins","BAGIRA","Universal Music Kft. Hungary",1,1,14,"306126"
2,"spotify:track:3XKdJfbBwnxUnn5tdaJoYL","DESH, Azahriah","Papa","Supermanagement",2,2,5,"242661"
3,"spotify:track:1cf5u4F1zIvn9wUjhqzxm9","ekhoe","Forog a világ","On The Low Inc.",3,-1,1,"199053"
4,"spotify:track:33zWUivvsRkfnOYx4FUmPt","Kiss Kevin","Hideg az éj","Gold Record Music Kft.",3,6,11,"191776"
5,"spotify:track:6w9aIT3TyqClXIcKyw6W1a","KKevin, Bruno X Spacc","Topshit","KKEVIN",1,3,5,"187518"
6,"spotify:track:1o0TkBcMTkkOg1KUeB4riK","Azahriah","four moods","Supermanagement",1,4,16,"182447"
7,"spotify:track:3nqQXoyQOWXiESFLlDF1hG","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","Capitol Records UK / EMI",1,5,9,"172790"
8,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",5,7,13,"153935"
9,"spotify:track:6Rc6C6S4lgT5j1OekgI155","Azahriah, DESH","Pullup","Supermanagement",1,8,27,"137683"
10,"spotify:track:0nQuoTxzDIVoWzaTgF5xtW","Dzsúdló, Azahriah","Várnék","Supermanagement",1,9,16,"129079"
11,"spotify:track:1o1jU5NJW5lTAllW6udk6Y","ekhoe","Tenger","IBBI ACADEMY",10,10,10,"126284"
12,"spotify:track:3uAoUHEPlLa5pWKpOrmIxo","VALMAR","SZÍNVAK","VLMR MUSIC",12,14,4,"112476"
13,"spotify:track:7cU3vDXfkH4bAemYBxuoJT","Azahriah, DESH","Miafasz","Supermanagement",2,11,27,"109078"
14,"spotify:track:4Os68ICIOhJVOPfl53TjBP","Beton.Hofi, ajsa luna, Hundred Sins, Beatrick","TISZALÖK","Universal Music Kft. Hungary",7,12,12,"109025"
15,"spotify:track:561jH07mF1jHuk7KlaeF0s","Eminem","Mockingbird","Aftermath",15,19,6,"108296"
16,"spotify:track:3q8b8Rn1UB0bG9QG2yBgIQ","ekhoe","Costa Rica","IBBI ACADEMY",7,16,40,"106641"
17,"spotify:track:5FW58MYtSU6mFxp88eOHI8","DESH","Malibu","Supermanagement",15,15,5,"105275"
18,"spotify:track:4h9wh7iOZ0GGn8QVp4RAOB","OneRepublic","I Ain't Worried","Interscope Records",17,21,26,"97071"
19,"spotify:track:54ipXppHLA8U4yqpOFTUhr","Imagine Dragons","Bones","Kid Ina Korner / Interscope",15,17,37,"96076"
20,"spotify:track:5hAuDDOTUaspvHJSm2AltF","Manuel, VALMAR","Palvin","Gold Record Music Kft.",6,13,10,"96053"
21,"spotify:track:0faYxc8g09uniud0ToGDRb","ByeAlex és a Slepp, T. Danny","voltmárkicsi","Gold Record Music Kft.",5,22,25,"92550"
22,"spotify:track:2YmkWevzHTiEyvgjdTKB3r","Bruno X Spacc","Aha-Aha","Bruno X Spacc",3,18,28,"89120"
23,"spotify:track:4zN21mbAuaD0WqtmaTZZeP","James Hype, Miggy Dela Rosa","Ferrari","Universal-Island Records Ltd.",3,23,29,"88769"
24,"spotify:track:6MqmeH170zlMDEkKZKmNDG","BSW","Megtanítalak élni","BSW",24,-1,1,"88636"
