artist_names,track_name,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature,popularity_score1,popularity_score2,streams,release_week,weeks_after_release,occurence_percentage,log_occurence,normalized_streams,popularity_score_log,popularity_log_normalized
Dua Lipa,Love Again,spotify:track:4rPkN1FMzQyFNP9cLUGIIB,0.659,0.667,11,-4.668,0,0.0339,0.00173,2.85e-05,0.1,0.468,115.982,audio_features,4rPkN1FMzQyFNP9cLUGIIB,https://api.spotify.com/v1/tracks/4rPkN1FMzQyFNP9cLUGIIB,https://api.spotify.com/v1/audio-analysis/4rPkN1FMzQyFNP9cLUGIIB,258004,4,0.0140350922084243,0.0257194315625915,68,2020-04-02,224,30.35714285714285,3.4130318393091583,0.0041122066447716,-3.353065069735924,43.11712564920771
"ByeAlex és a Slepp, Manuel",Rossz esték,spotify:track:3Xourl4xRz7cfHMznl0PlR,0.814,0.482,1,-7.208,1,0.302,0.0838,0.0,0.0818,0.925,167.971,audio_features,3Xourl4xRz7cfHMznl0PlR,https://api.spotify.com/v1/tracks/3Xourl4xRz7cfHMznl0PlR,https://api.spotify.com/v1/audio-analysis/3Xourl4xRz7cfHMznl0PlR,204286,4,0.0300533867553623,0.055073099086209,68,2021-11-25,138,49.275362318840585,3.8974242060069937,0.0077110894700766,-2.591650490783488,65.57214465747037
BSW,Soha Nem Elég,spotify:track:6MerGM9eI90DvPU5TV9ymI,0.788,0.583,2,-7.736,1,0.0792,0.391,2.1e-06,0.112,0.31,111.985,audio_features,6MerGM9eI90DvPU5TV9ymI,https://api.spotify.com/v1/tracks/6MerGM9eI90DvPU5TV9ymI,https://api.spotify.com/v1/audio-analysis/6MerGM9eI90DvPU5TV9ymI,263571,4,0.0113990141888311,0.0208887950970978,68,2019-01-03,289,23.52941176470588,3.158251203051766,0.0036092804074028,-3.561098972422124,36.9819591206016
Måneskin,Beggin',spotify:track:3Wrjm47oTz2sjIgck11l5e,0.714,0.8,11,-4.808,0,0.0504,0.127,0.0,0.359,0.589,134.002,audio_features,3Wrjm47oTz2sjIgck11l5e,https://api.spotify.com/v1/tracks/3Wrjm47oTz2sjIgck11l5e,https://api.spotify.com/v1/audio-analysis/3Wrjm47oTz2sjIgck11l5e,211560,4,0.0300234687708359,0.0548250998120986,67,2019-01-03,289,23.18339100346021,3.143436117266625,0.0095511623748036,-2.5961637530128163,65.4390432013776
"Lil Nas X, Jack Harlow",INDUSTRY BABY (feat. Jack Harlow),spotify:track:27NovPIUIRrOZoCHxABJwK,0.736,0.704,3,-7.409,0,0.0615,0.0203,0.0,0.0501,0.894,149.995,audio_features,27NovPIUIRrOZoCHxABJwK,https://api.spotify.com/v1/tracks/27NovPIUIRrOZoCHxABJwK,https://api.spotify.com/v1/audio-analysis/27NovPIUIRrOZoCHxABJwK,212000,4,0.0395921041448386,0.0722981437647968,67,2021-07-29,155,43.2258064516129,3.7664376884598103,0.0105118171120013,-2.3195134131072908,73.59778984603433
"Avicii, Aloe Blacc",SOS (feat. Aloe Blacc),spotify:track:6nDKrPlXdpomGBgAlO7UdP,0.802,0.645,5,-6.181,0,0.0715,0.272,0.0,0.119,0.376,100.001,audio_features,6nDKrPlXdpomGBgAlO7UdP,https://api.spotify.com/v1/tracks/6nDKrPlXdpomGBgAlO7UdP,https://api.spotify.com/v1/audio-analysis/6nDKrPlXdpomGBgAlO7UdP,157202,4,0.0189869197589754,0.0346715357527675,67,2019-04-11,275,24.363636363636363,3.1930917077124863,0.0059462494337745,-3.0543928128560034,51.92532474451066
Labrinth,Formula,spotify:track:6EtKlIQmGPB9SX8UjDJG5s,0.574,0.664,11,-6.068,1,0.0409,0.0448,0.0553,0.146,0.226,144.654,audio_features,6EtKlIQmGPB9SX8UjDJG5s,https://api.spotify.com/v1/tracks/6EtKlIQmGPB9SX8UjDJG5s,https://api.spotify.com/v1/audio-analysis/6EtKlIQmGPB9SX8UjDJG5s,91870,4,0.0121025355449318,0.0221001352073912,67,2019-10-10,249,26.907630522088358,3.2924099089143497,0.0036758896612975,-3.504728141386731,38.64440178639983
Dzsúdló,Ha meghalok,spotify:track:5o5F8K2f2J258y3ZpfU5Ii,0.687,0.559,10,-6.221,1,0.239,0.167,0.0,0.0725,0.402,99.881,audio_features,5o5F8K2f2J258y3ZpfU5Ii,https://api.spotify.com/v1/tracks/5o5F8K2f2J258y3ZpfU5Ii,https://api.spotify.com/v1/audio-analysis/5o5F8K2f2J258y3ZpfU5Ii,201600,4,0.0192225033661502,0.0351017290417588,67,2022-04-21,117,57.26495726495726,4.047688870581301,0.0047490071447585,-3.0420614781656923,52.28899043009439
"DJ Snake, J Balvin, Tyga",Loco Contigo (feat. J. Balvin & Tyga),spotify:track:1f38Gx6xQz6r4H1jGVNBJo,0.822,0.743,6,-3.04,0,0.0567,0.285,2.31e-06,0.102,0.355,96.025,audio_features,1f38Gx6xQz6r4H1jGVNBJo,https://api.spotify.com/v1/tracks/1f38Gx6xQz6r4H1jGVNBJo,https://api.spotify.com/v1/audio-analysis/1f38Gx6xQz6r4H1jGVNBJo,185195,4,0.0208698658652718,0.0379736378707277,66,2019-06-13,266,24.81203007518797,3.211328619232818,0.006498825981334,-2.963419689139962,54.608230061473805
"Diplo, SIDEPIECE",On My Mind,spotify:track:5hmcw6bW5V24CvJqsz87We,0.771,0.731,7,-6.577,1,0.0407,0.00155,0.681,0.217,0.629,123.026,audio_features,5hmcw6bW5V24CvJqsz87We,https://api.spotify.com/v1/tracks/5hmcw6bW5V24CvJqsz87We,https://api.spotify.com/v1/audio-analysis/5hmcw6bW5V24CvJqsz87We,189268,4,0.0164415072217272,0.0299160447564616,66,2020-03-05,228,28.947368421052637,3.3654792990600764,0.0048853389846489,-3.20191691747387,47.57466392852166
